ID,Plant,Source,Inoc,Rep,g_180317,g_180511,g_180516,g_180523,g_180530,g_180605,harvested_extra,surv_180619,surv_180626,surv_180713,Harvest,blw.wet,blw.sub,abv,blw.dry,newGerm,Notes
193,PSSP,HECO,Live,5,0,0,3,4,4,4,3,1,1,1,14-Aug-18,2.23,2.1,0.2374,0.3337,,
194,PSSP,PSSP,Live,5,0,0,4,4,4,4,3,1,1,1,14-Aug-18,2.3,2.1,0.1642,0.3306,,
195,PSSP,BARE,Live,5,0,0,1,4,4,5,4,1,1,1,14-Aug-18,3.27,3.03,0.2131,0.5058,,
196,PSSP,ARTR,Sterile,5,0,0,0,0,1,1,,1,1,1,14-Aug-18,3.59,3.46,0.3024,0.5752,,
197,PSSP,POSE,Sterile,5,0,0,0,3,4,3,2,1,1,1,14-Aug-18,5.96,5.82,0.4231,1.1148,,
198,PSSP,HECO,Sterile,5,0,0,0,3,5,6,5,1,1,1,14-Aug-18,5.03,4.84,0.2596,0.8675,,
199,PSSP,PSSP,Sterile,5,0,0,1,1,1,3,2,1,1,1,14-Aug-18,3.99,3.73,0.3031,0.6919,,
200,PSSP,BARE,Sterile,5,0,0,2,5,7,6,5,1,1,1,14-Aug-18,5.44,5.41,0.3234,0.7639,,
201,ARTR,ARTR,Live,6,0,2,1,1,2,3,2,1,1,1,14-Aug-18,,,0.2958,0.5635,,
202,ARTR,POSE,Live,6,0,0,0,0,0,1,,1,1,1,14-Aug-18,,,0.0588,0.069,,
203,ARTR,HECO,Live,6,0,0,0,2,3,5,4,1,1,1,14-Aug-18,,,0.0971,0.0236,,
204,ARTR,PSSP,Live,6,0,1,0,0,0,0,,1,1,1,14-Aug-18,,,0.3442,0.4041,,looked dead at harvest (little root)
205,ARTR,BARE,Live,6,1,3,4,4,4,4,3,1,1,1,14-Aug-18,,,0.0559,0.1133,,
206,ARTR,ARTR,Sterile,6,0,2,1,1,1,2,1,1,1,1,14-Aug-18,,,0.2136,0.2583,,180713 leaf droopy despite watering
207,ARTR,POSE,Sterile,6,1,0,0,1,1,1,,1,1,1,14-Aug-18,,,0.1736,0.0937,,behind tag 180523; moved tag 180605
208,ARTR,HECO,Sterile,6,0,0,0,0,0,0,,0,0,0,,,,,,,
209,ARTR,PSSP,Sterile,6,3,4,2,2,2,3,2,1,1,1,14-Aug-18,,,0.2599,0.3169,,
210,ARTR,BARE,Sterile,6,1,2,0,0,0,0,,0,0,0,,,,,,,
211,POSE,ARTR,Live,6,0,0,0,0,0,2,1,1,1,1,14-Aug-18,,,0.0582,0.2037,,
212,POSE,POSE,Live,6,0,0,0,2,2,4,3,1,1,1,14-Aug-18,,,0.0876,0.2312,,
213,POSE,HECO,Live,6,0,0,0,0,0,4,3,1,1,1,14-Aug-18,,,0.078,0.2154,,
214,POSE,PSSP,Live,6,0,0,0,0,0,3,2,1,1,1,14-Aug-18,,,0.0593,0.1994,,
